"Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year","State"
"Buckeye PD",0,5,0,13,11,68,13,0,8,2022,"Arizona"
"Chandler PD",0,9,7,22,44,315,27,2,8,2022,"Arizona"
"Gilbert PD",0,5,3,8,21,216,12,2,8,2022,"Arizona"
"Glendale PD",3,16,21,59,71,614,109,5,8,2022,"Arizona"
"Goodyear PD",0,0,1,8,16,140,6,0,8,2022,"Arizona"
"Mesa PD",5,20,26,171,72,524,77,1,8,2022,"Arizona"
"Queen Creek Police Department",0,3,0,6,8,52,5,0,8,2022,"Arizona"
"Peoria PD",0,6,4,23,32,147,24,1,8,2022,"Arizona"
"Phoenix PD",19,115,319,776,558,NA,709,13,8,2022,"Arizona"
"Scottsdale PD",0,6,5,22,48,338,26,2,8,2022,"Arizona"
"Surprise PD",0,7,3,4,17,110,20,1,8,2022,"Arizona"
"Tempe PD",0,17,13,85,116,525,53,2,8,2022,"Arizona"
"Lake Havasu City PD",0,4,0,16,10,41,8,1,8,2022,"Arizona"
"Tucson PD",0,0,0,0,0,0,0,0,8,2022,"Arizona"
"Marana PD",0,0,2,0,12,93,1,0,8,2022,"Arizona"
"Casa Grande PD",0,4,4,21,13,93,9,0,8,2022,"Arizona"
"Maricopa PD",0,0,0,9,2,35,3,0,8,2022,"Arizona"
"Yuma PD",0,2,5,66,48,66,20,0,8,2022,"Arizona"
"Flagstaff PD",1,5,5,20,40,164,0,1,9,2022,"Arizona"
"Avondale PD",2,2,4,14,26,181,21,1,9,2022,"Arizona"
"Buckeye PD",0,6,0,16,18,55,9,0,9,2022,"Arizona"
"Chandler PD",0,4,8,35,33,355,25,1,9,2022,"Arizona"
"Gilbert PD",0,8,3,28,22,154,17,1,9,2022,"Arizona"
"Glendale PD",0,16,17,91,66,518,71,3,9,2022,"Arizona"
"Goodyear PD",0,0,1,13,22,119,7,0,9,2022,"Arizona"
"Mesa PD",0,31,21,134,75,492,76,2,9,2022,"Arizona"
"Queen Creek Police Department",0,2,0,4,4,51,1,0,9,2022,"Arizona"
"Peoria PD",0,10,4,20,17,122,16,1,9,2022,"Arizona"
"Phoenix PD",20,104,287,836,527,NA,594,28,9,2022,"Arizona"
"Scottsdale PD",0,9,5,30,54,363,36,0,9,2022,"Arizona"
"Surprise PD",0,1,2,6,14,136,10,0,9,2022,"Arizona"
"Tempe PD",0,15,14,33,81,540,60,3,9,2022,"Arizona"
"Lake Havasu City PD",0,1,0,11,7,65,6,1,9,2022,"Arizona"
"Tucson PD",0,0,0,0,0,0,0,0,9,2022,"Arizona"
"Marana PD",0,2,0,2,8,86,1,0,9,2022,"Arizona"
"Casa Grande PD",1,3,5,19,10,92,16,0,9,2022,"Arizona"
"Maricopa PD",0,0,0,8,1,27,3,1,9,2022,"Arizona"
"Yuma PD",0,3,6,22,46,72,20,0,9,2022,"Arizona"
"Flagstaff PD",0,11,6,19,21,170,7,1,10,2022,"Arizona"
"Avondale PD",1,3,3,25,13,169,19,0,10,2022,"Arizona"
"Buckeye PD",0,3,0,13,4,60,10,1,10,2022,"Arizona"
"Chandler PD",0,9,4,29,64,373,50,2,10,2022,"Arizona"
"Gilbert PD",0,7,3,23,23,218,24,1,10,2022,"Arizona"
"Glendale PD",1,18,19,74,61,572,100,2,10,2022,"Arizona"
"Goodyear PD",0,0,2,9,7,134,11,1,10,2022,"Arizona"
"Mesa PD",1,30,38,135,98,535,67,1,10,2022,"Arizona"
"Queen Creek Police Department",0,2,0,13,9,47,4,1,10,2022,"Arizona"
"Peoria PD",0,3,6,16,30,146,15,0,10,2022,"Arizona"
"Phoenix PD",13,124,282,718,557,NA,594,25,10,2022,"Arizona"
"Scottsdale PD",0,10,3,33,50,296,31,1,10,2022,"Arizona"
"Surprise PD",0,2,3,6,15,147,11,2,10,2022,"Arizona"
"Tempe PD",1,12,20,64,84,515,84,0,10,2022,"Arizona"
"Lake Havasu City PD",0,2,1,19,9,57,6,0,10,2022,"Arizona"
"Tucson PD",0,0,0,0,0,0,0,0,10,2022,"Arizona"
"Marana PD",0,0,0,1,7,86,4,0,10,2022,"Arizona"
"Casa Grande PD",0,2,2,22,21,84,11,2,10,2022,"Arizona"
"Maricopa PD",0,0,2,11,5,30,3,1,10,2022,"Arizona"
"Yuma PD",0,4,3,35,41,75,29,1,10,2022,"Arizona"
"Flagstaff PD",0,2,1,17,22,138,0,1,11,2022,"Arizona"
"Avondale PD",1,2,6,18,9,141,21,0,11,2022,"Arizona"
"Buckeye PD",0,5,2,19,11,60,14,1,11,2022,"Arizona"
"Chandler PD",4,8,8,28,41,281,36,1,11,2022,"Arizona"
"Gilbert PD",0,12,2,19,26,177,29,0,11,2022,"Arizona"
"Glendale PD",3,10,14,77,88,503,106,1,11,2022,"Arizona"
"Goodyear PD",0,0,2,4,12,114,15,0,11,2022,"Arizona"
"Mesa PD",8,19,13,121,79,483,90,3,11,2022,"Arizona"
"Queen Creek Police Department",0,2,0,5,7,48,1,0,11,2022,"Arizona"
"Peoria PD",0,7,1,23,31,160,11,1,11,2022,"Arizona"
"Phoenix PD",16,85,255,580,464,NA,556,25,11,2022,"Arizona"
"Scottsdale PD",0,9,4,28,53,350,21,0,11,2022,"Arizona"
"Surprise PD",0,1,4,3,18,100,9,0,11,2022,"Arizona"
"Tempe PD",0,7,11,49,53,516,57,1,11,2022,"Arizona"
"Lake Havasu City PD",0,4,0,7,8,46,4,0,11,2022,"Arizona"
"Tucson PD",0,0,0,0,0,0,0,0,11,2022,"Arizona"
"Marana PD",0,0,1,1,11,82,5,0,11,2022,"Arizona"
"Casa Grande PD",0,4,8,29,29,121,14,1,11,2022,"Arizona"
"Maricopa PD",0,3,1,5,3,28,5,0,11,2022,"Arizona"
"Yuma PD",2,0,5,19,39,56,18,1,11,2022,"Arizona"
"Flagstaff PD",0,2,2,19,11,48,4,0,12,2022,"Arizona"
"Avondale PD",0,2,2,21,20,141,32,1,12,2022,"Arizona"
"Buckeye PD",0,4,0,6,14,53,8,0,12,2022,"Arizona"
"Chandler PD",2,5,2,21,36,396,37,1,12,2022,"Arizona"
"Gilbert PD",0,5,1,25,14,179,24,1,12,2022,"Arizona"
"Glendale PD",2,18,11,100,80,506,95,5,12,2022,"Arizona"
"Goodyear PD",0,2,2,17,31,132,16,1,12,2022,"Arizona"
"Mesa PD",2,21,25,131,105,550,99,2,12,2022,"Arizona"
"Queen Creek Police Department",0,0,0,11,7,48,3,0,12,2022,"Arizona"
"Peoria PD",0,3,2,26,40,192,22,0,12,2022,"Arizona"
"Phoenix PD",20,72,206,660,505,NA,640,14,12,2022,"Arizona"
"Scottsdale PD",0,7,9,18,39,400,36,2,12,2022,"Arizona"
