"","pds","Total","Note"
"64","Springfield,MO,City",7,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"65","State Sample Counts_CT",7,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"66","State Sample Counts_OR",7,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"67","Amarillo,TX,City",6,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1"
"68","Boston,MA,City",6,"Rape_pri8 | Agg.Assault_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Theft_pri1"
"69","Chattanooga,TN,City",6,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"70","Dayton,OH,City",6,"Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"71","Durham,NC,City",6,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1"
"72","Flint,MI,City",6,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | MVT_pri1"
"73","Gresham,OR,City",6,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"74","Kansas City,MO,City",6,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"75","Lexington,KY,City",6,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"76","Lubbock,TX,City",6,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1"
"77","Mesa,AZ,City",6,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Rape_pri1 | Theft_pri1"
"78","Portland,OR,City",6,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"79","Prince George's,MD,County",6,"Robbery_pri8 | Agg.Assault_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"80","Raleigh,NC,City",6,"Robbery_pri8 | Theft_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"81","Reading,PA,City",6,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"82","San Diego,CA,City",6,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"83","State Sample Counts_GA",6,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"84","State Sample Counts_ND",6,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1"
"85","State Sample Counts_SD",6,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"86","Stockton,CA,City",6,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | MVT_pri1"
"87","Toledo,OH,City",6,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"88","Bakersfield,CA,City",5,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | MVT_pri1"
"89","Buffalo,NY,City",5,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"90","Champaign,IL,City",5,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"91","Cicero,IL,City",5,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Burglary_pri1 | MVT_pri1"
"92","Cincinnati,OH,City",5,"Rape_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"93","Colorado Springs,CO,City",5,"Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"94","Columbia,MO,City",5,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
