"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"VA0880000","Spotsylvania",NA,NA,NA,NA,NA,NA,NA,2026,4,"VA","County","Spotsylvania,VA","Spotsylvania,VA,County","County"
"MA0071800","Springfield",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Springfield,MA","Springfield,MA,City","City"
"OH0120200","Springfield",NA,NA,NA,NA,NA,NA,NA,2026,4,"OH","City","Springfield,OH","Springfield,OH,City","City"
"OR0200600","Springfield",NA,NA,NA,NA,NA,NA,NA,2026,4,"OR","City","Springfield,OR","Springfield,OR,City","City"
"CT0013500","Stamford",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Stamford,CT","Stamford,CT,City","City"
"PA0140300","State College",NA,NA,NA,NA,NA,NA,NA,2026,4,"PA","City","State College,PA","State College,PA,City","City"
"CA0390500","Stockton",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","Stockton,CA","Stockton,CA,City","City"
"CT0013800","Stratford",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Stratford,CT","Stratford,CT,City","City"
"VA1270000","Suffolk",NA,NA,NA,NA,NA,NA,NA,2026,4,"VA","City","Suffolk,VA","Suffolk,VA,City","City"
"AZ0072700","Surprise",NA,NA,NA,NA,NA,NA,NA,2026,4,"AZ","City","Surprise,AZ","Surprise,AZ,City","City"
"TX0140700","Temple",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","City","Temple,TX","Temple,TX,City","City"
"IN0840100","Terre Haute",NA,NA,NA,NA,NA,NA,NA,2026,4,"IN","City","Terre Haute,IN","Terre Haute,IN,City","City"
"IL0165M00","Tinley Park",NA,NA,NA,NA,NA,NA,NA,2026,4,"IL","City","Tinley Park,IL","Tinley Park,IL,City","City"
"OH0480700","Toledo",NA,NA,NA,NA,NA,NA,NA,2026,4,"OH","City","Toledo,OH","Toledo,OH,City","City"
"CA0390600","Tracy",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","Tracy,CA","Tracy,CA,City","City"
"OK0720500","Tulsa",NA,NA,NA,NA,NA,NA,NA,2026,4,"OK","City","Tulsa,OK","Tulsa,OK,City","City"
"NC0900000","Union",NA,NA,NA,NA,NA,NA,NA,2026,4,"NC","County","Union,NC","Union,NC,County","County"
"GA0760200","Warner Robins",NA,NA,NA,NA,NA,NA,NA,2026,4,"GA","City","Warner Robins,GA","Warner Robins,GA,City","City"
"OH0830000","Warren",NA,NA,NA,NA,NA,NA,NA,2026,4,"OH","County","Warren,OH","Warren,OH,County","County"
"NV0160000","Washoe",NA,NA,NA,NA,NA,NA,NA,2026,4,"NV","County","Washoe,NV","Washoe,NV,County","County"
"CT0015100","Waterbury",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Waterbury,CT","Waterbury,CT,City","City"
"CT0015600","West Haven",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","West Haven,CT","West Haven,CT,City","City"
"UT0180600","West Jordan",NA,NA,NA,NA,NA,NA,NA,2026,4,"UT","City","West Jordan,UT","West Jordan,UT,City","City"
"CA0302400","Westminster",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","Westminster,CA","Westminster,CA,City","City"
"NC0340200","Winston-Salem",NA,NA,NA,NA,NA,NA,NA,2026,4,"NC","City","Winston-Salem,NC","Winston-Salem,NC,City","City"
"MA0146000","Worcester",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Worcester,MA","Worcester,MA,City","City"
"TX0430800","Wylie",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","City","Wylie,TX","Wylie,TX,City","City"
"AZ0130000","Yavapai",NA,NA,NA,NA,NA,NA,NA,2026,4,"AZ","County","Yavapai,AZ","Yavapai,AZ,County","County"
"OH0500900","Youngstown",NA,NA,NA,NA,NA,NA,NA,2026,4,"OH","City","Youngstown,OH","Youngstown,OH,City","City"
