"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","agency_type_name","population","State_ref"
"70","College Station, TX","College Station",0,7,5,10,10,67,9,2024,1,"TX",22,86,"College Station","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",121618,126136,NA,NA,"","College Station","TX","South","West South Central","City",126136,"TX"
"71","Collierville, TN","Collierville",0,1,0,2,6,53,2,2017,1,"TN",3,61,"Collierville","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",51686,51686,NA,NA,"","Collierville","TN","South","East South Central","City",51686,"TN"
"72","Colorado Springs, CO","Colorado Springs",1,36,45,122,203,976,187,2018,3,"CO",204,1366,"Colorado Springs","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",487728,489254,NA,NA,"","Colorado Springs","CO","West","Mountain","City",489254,"CO"
"73","Columbia, MO","Columbia",0,16,4,38,38,254,40,2021,7,"MO",58,332,"Columbia","https://showmecrime.mo.gov/","State UCR","Open Source",127862,129602,NA,NA,"","Columbia","MO","Midwest","West North Central","City",129602,"MO"
"74","Columbus, OH","Columbus",6,NA,NA,NA,NA,NA,NA,2017,1,"OH",6,0,"Columbus","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",907196,908834,NA,NA,"","Columbus","OH","Midwest","East North Central","City",908834,"OH"
"75","Commerce City, CO","Commerce City",1,9,5,20,17,79,30,2017,1,"CO",35,126,"Commerce City","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",65817,67851,NA,NA,"","Commerce City","CO","West","Mountain","City",67851,"CO"
"76","Concord, CA","Concord",0,5,9,21,41,250,81,2017,1,"CA",35,372,"Concord","https://www.cityofconcord.org/1197/2024-Crime-Statistics","Agency Aggregated","Open Source",122982,121331,NA,NA,"","Concord","CA","West","Pacific","City",121331,"CA"
"77","Conroe, TX","Conroe",0,5,3,18,19,144,16,2024,1,"TX",26,179,"Conroe","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",98623,106904,NA,NA,"","Conroe","TX","South","West South Central","City",106904,"TX"
"78","Coon Rapids, MN","Coon Rapids",0,3,3,2,7,76,3,2021,2,"MN",8,86,"Coon Rapids","https://cde.state.mn.us/","State UCR","Open Source",63181,62391,NA,NA,"","Coon Rapids","MN","Midwest","West North Central","City",62391,"MN"
"79","Corpus Christi, TX","Corpus Christi",3,14,36,167,155,581,149,2024,1,"TX",220,885,"Corpus Christi","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",317694,315340,NA,NA,"","Corpus Christi","TX","South","West South Central","City",315340,"TX"
"80","Cranston, RI","Cranston",0,2,2,6,4,48,5,2024,1,"RI",10,57,"Cranston","https://riucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",82205,82484,NA,NA,"","Cranston","RI","Northeast","New England","City",82484,"RI"
"81","Dallas, TX","Dallas",17,32,161,411,550,2293,1394,2024,1,"TX",621,4237,"Dallas","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",1286121,1304989,NA,NA,"","Dallas","TX","South","West South Central","City",1304989,"TX"
"82","Danbury, CT","Danbury",0,0,2,3,9,64,12,2022,2,"CT",5,85,"Danbury","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",87164,87327,NA,NA,"","Danbury","CT","Northeast","New England","City",87327,"CT"
"83","Dayton, OH","Dayton",3,27,23,44,110,214,67,2019,1,"OH",97,391,"Dayton","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",137084,135181,NA,NA,"","Dayton","OH","Midwest","East North Central","City",135181,"OH"
