"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Population","pop23","Violent Crime","Property Crime","agency_num"
"188","New York City, NY","New York City",37,125,1369,2445,1175,4338,1352,2023,5,"NY",NA,NA,3976,6865,1
"189","Newark, NJ","Newark",3,9,20,63,30,122,150,2021,1,"NJ",304311,"303827",95,302,1
"190","Newark, OH","Newark",0,0,3,0,30,72,18,2022,8,"OH",50818,"51147",3,120,1
"191","North Bergen Township, NJ","North Bergen Township",0,3,1,3,7,25,5,2021,5,"NJ",58378,"59147",7,37,1
"192","North Las Vegas, NV","North Las Vegas",2,7,23,50,55,232,147,2024,8,"NV",284422,"290751",82,434,1
"193","North Richland Hills, TX","North Richland Hills",0,4,0,8,20,86,8,2022,7,"TX",70108,"70853",12,114,1
"194","O'Fallon, MO","O'Fallon",0,0,1,4,8,76,9,2019,3,"MO",95689,"94702",5,93,1
"195","Oak Lawn, IL","Oak Lawn",0,1,0,0,4,41,2,2021,2,"IL",55368,"55368",1,47,1
"196","Oceanside, CA","Oceanside",2,8,10,42,34,187,37,2018,4,"CA",171844,"171348",62,258,1
"197","Odessa, TX","Odessa",0,6,9,27,28,103,25,2022,2,"TX",110163,"111922",42,156,1
"198","Omaha, NE","Omaha",1,19,18,125,92,985,262,2024,8,"NE",483462,"481471",163,1339,1
"199","Palatine, IL","Palatine",0,3,0,4,3,43,2,2022,7,"IL",64407,"64407",7,48,1
"200","Parker, CO","Parker",0,1,0,5,7,82,9,2017,9,"CO",61865,"62431",6,98,1
"201","Pasadena, TX","Pasadena",0,6,6,44,44,183,28,2019,2,"TX",145954,"145850",56,255,1
"202","Pawtucket, RI","Pawtucket",0,5,0,14,21,55,18,2022,7,"RI",74967,"75100",19,94,1
"203","Pearland, TX","Pearland",1,3,7,8,19,170,10,2020,1,"TX",125894,"127433",19,199,1
"204","Pflugerville, TX","Pflugerville",0,0,2,4,8,56,8,2018,10,"TX",67817,"65599",6,72,1
"205","Pharr, TX","Pharr",0,5,2,9,15,92,7,2023,1,"TX",79558,"80359",16,114,1
"206","Philadelphia, PA","Philadelphia",26,38,387,798,402,4206,1464,2024,8,"PA",1555812,"1550843",1249,6072,1
