"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","Source","city_state","city_state_id","Agency_Type"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,5,"MA","City","Manual","Brookline,MA","Brookline,MA,City","City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,6,"MA","City","Manual","Brookline,MA","Brookline,MA,City","City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","City","Manual","Brookline,MA","Brookline,MA,City","City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","City","Manual","Brookline,MA","Brookline,MA,City","City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,9,"MA","City","Manual","Brookline,MA","Brookline,MA,City","City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","City","Manual","Brookline,MA","Brookline,MA,City","City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Brookline,MA","Brookline,MA,City","City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,9,"MA","City","Manual","Framingham,MA","Framingham,MA,City","City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","City","Manual","Framingham,MA","Framingham,MA,City","City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Framingham,MA","Framingham,MA,City","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Lowell,MA","Lowell,MA,City","City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","City","Manual","Newton,MA","Newton,MA,City","City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","City","Manual","Newton,MA","Newton,MA,City","City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,9,"MA","City","Manual","Newton,MA","Newton,MA,City","City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","City","Manual","Newton,MA","Newton,MA,City","City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Newton,MA","Newton,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,5,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,6,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,9,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Peabody,MA","Peabody,MA,City","City"
"Plymouth",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","City","Manual","Plymouth,MA","Plymouth,MA,City","City"
"Plymouth",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","City","Manual","Plymouth,MA","Plymouth,MA,City","City"
"Plymouth",NA,NA,NA,NA,NA,NA,NA,2025,9,"MA","City","Manual","Plymouth,MA","Plymouth,MA,City","City"
