"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","State.y","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","ori","pub_agency_name","state_abbr","region_name","division_name","population","city_state.y","Agency_Type.y","State"
"Cedar Rapids,IA,City","Cedar Rapids",1,0,5,25,35,101,10,2024,11,"IA","Cedar Rapids,IA","City",31,146,"Cedar Rapids","IA","From IA","State UCR","Provided by Agency",135777,NA,NA,"","IA0570100","Cedar Rapids","IA","Midwest","West North Central",135777,"Cedar Rapids, IA","City","Midwest"
"Centennial,CO,City","Centennial",0,2,1,6,19,118,19,2017,1,"CO","Centennial,CO","City",9,156,"Centennial","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104724,NA,NA,"","CO0031100","Centennial","CO","West","Mountain",104724,"Centennial, CO","City","West"
"Champaign,IL,City","Champaign",0,5,12,36,66,177,16,2017,1,"IL","Champaign,IL","City",53,259,"Champaign","IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",89687,NA,NA,"","IL0100100","Champaign","IL","Midwest","East North Central",89687,"Champaign, IL","City","Midwest"
"Chandler,AZ,City","Chandler",0,8,15,18,61,423,49,2017,1,"AZ","Chandler,AZ","City",41,533,"Chandler","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",282419,NA,NA,"","AZ0070500","Chandler","AZ","West","Mountain",282419,"Chandler, AZ","City","West"
"Chapel Hill,NC,City","Chapel Hill",0,0,3,3,26,95,4,2017,1,"NC","Chapel Hill,NC","City",6,125,"Chapel Hill","NC","From NC","State UCR","Provided by State UCR Program",65066,NA,NA,"","NC0680100","Chapel Hill","NC","South","South Atlantic",65066,"Chapel Hill, NC","City","South"
"Charlotte,NC,City","Charlotte",9,25,198,353,583,2153,253,2017,1,"NC","Charlotte,NC","City",585,2989,"Charlotte","NC","From NC","State UCR","Provided by State UCR Program",979304,NA,NA,"","NC0600100","Charlotte","NC","South","South Atlantic",979304,"Charlotte, NC","City","South"
"Chattanooga,TN,City","Chattanooga",1,9,47,86,139,584,80,2017,1,"TN","Chattanooga,TN","City",143,803,"Chattanooga","TN","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency RMS","Open Source",185370,NA,NA,"","TN0330100","Chattanooga","TN","South","East South Central",185370,"Chattanooga, TN","City","South"
"Chesapeake,VA,City","Chesapeake",2,9,25,54,56,367,23,2017,1,"VA","Chesapeake,VA","City",90,446,"Chesapeake","VA","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",254051,NA,NA,"","VA1030000","Chesapeake","VA","South","South Atlantic",254051,"Chesapeake, VA","City","South"
"Chesterfield,VA,County","Chesterfield",0,14,14,11,83,412,18,2017,1,"VA","Chesterfield,VA","County",39,513,"Chesterfield","VA","From VA","State UCR","Provided by State UCR Program",385204,NA,NA,"","VA0210100","Chesterfield","VA","South","South Atlantic",385204,"Chesterfield, VA","County","South"
"Cheyenne,WY,City","Cheyenne",0,4,2,4,19,135,11,2017,1,"WY","Cheyenne,WY","City",10,165,"Cheyenne","WY","https://crimestats.wyo.gov/public/View/dispview.aspx","State UCR","Open Source",64307,NA,NA,"","WY0110100","Cheyenne","WY","West","Mountain",64307,"Cheyenne, WY","City","West"
