"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Conroe",0,6,3,21,3,126,16,2025,4,"TX","Conroe,TX","City","Conroe,TX,City"
"Coon Rapids",0,3,0,1,7,49,4,2025,4,"MN","Coon Rapids,MN","City","Coon Rapids,MN,City"
"Corpus Christi",0,17,21,159,132,516,63,2025,4,"TX","Corpus Christi,TX","City","Corpus Christi,TX,City"
"Corvallis",NA,NA,NA,NA,NA,NA,NA,2025,4,"OR","Corvallis,OR","City","Corvallis,OR,City"
"Council Bluffs",0,4,3,16,14,54,14,2025,3,"IA","Council Bluffs,IA","City","Council Bluffs,IA,City"
"Cranston",0,1,1,4,10,56,0,2025,4,"RI","Cranston,RI","City","Cranston,RI,City"
"Cuyahoga Falls",0,1,0,14,6,49,3,2025,4,"OH","Cuyahoga Falls,OH","City","Cuyahoga Falls,OH,City"
"Dallas",17,25,150,422,407,1823,1018,2025,4,"TX","Dallas,TX","City","Dallas,TX,City"
"Danbury",1,0,5,11,2,41,1,2025,4,"CT","Danbury,CT","City","Danbury,CT,City"
"Davenport",0,11,8,23,40,193,25,2025,3,"IA","Davenport,IA","City","Davenport,IA,City"
"Davidson",NA,NA,NA,NA,NA,NA,NA,2025,3,"NC","Davidson,NC","County","Davidson,NC,County"
"Dayton",5,11,18,101,91,213,105,2025,4,"OH","Dayton,OH","City","Dayton,OH,City"
"Dearborn Heights",0,1,1,15,7,32,11,2025,3,"MI","Dearborn Heights,MI","City","Dearborn Heights,MI,City"
"Dearborn",0,2,2,12,5,100,22,2025,3,"MI","Dearborn,MI","City","Dearborn,MI,City"
"Decatur",1,3,2,25,26,77,6,2025,4,"IL","Decatur,IL","City","Decatur,IL,City"
"Delaware",0,2,0,6,7,60,8,2025,4,"OH","Delaware,OH","County","Delaware,OH,County"
"Denton",1,6,3,21,17,202,24,2025,4,"TX","Denton,TX","City","Denton,TX,City"
"Denton",0,2,0,1,4,28,1,2025,4,"TX","Denton,TX","County","Denton,TX,County"
"Denver",2,62,85,391,332,1495,437,2025,4,"CO","Denver,CO","City","Denver,CO,City"
"Des Moines",0,9,8,99,67,358,78,2025,3,"IA","Des Moines,IA","City","Des Moines,IA,City"
"Des Plaines",NA,NA,NA,NA,NA,NA,NA,2025,4,"IL","Des Plaines,IL","City","Des Plaines,IL,City"
"Desoto",0,3,3,9,17,59,15,2025,4,"TX","Desoto,TX","City","Desoto,TX,City"
"Detroit",10,37,83,633,358,878,537,2025,4,"MI","Detroit,MI","City","Detroit,MI,City"
"Douglas",0,2,2,36,12,84,7,2025,4,"CO","Douglas,CO","County","Douglas,CO,County"
"Dublin",0,3,1,0,3,15,8,2025,4,"OH","Dublin,OH","City","Dublin,OH,City"
"Dubuque",0,8,1,10,8,63,3,2025,3,"IA","Dubuque,IA","City","Dubuque,IA,City"
"Duluth",0,0,2,10,18,170,4,2025,4,"MN","Duluth,MN","City","Duluth,MN,City"
"Dunwoody",0,1,1,3,6,109,10,2025,4,"GA","Dunwoody,GA","City","Dunwoody,GA,City"
