"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"CA0540500","Porterville",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Porterville,CA","Porterville,CA,City","City"
"VA1200000","Portsmouth",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","City","Portsmouth,VA","Portsmouth,VA,City","City"
"VA0750300","Prince William",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","County","Prince William,VA","Prince William,VA,County","County"
"RI0040900","Providence",NA,NA,NA,NA,NA,NA,NA,2026,2,"RI","City","Providence,RI","Providence,RI,City","City"
"UT0250600","Provo",NA,NA,NA,NA,NA,NA,NA,2026,2,"UT","City","Provo,UT","Provo,UT,City","City"
"WA0171200","Redmond",NA,NA,NA,NA,NA,NA,NA,2026,2,"WA","City","Redmond,WA","Redmond,WA,City","City"
"NV0160100","Reno",NA,NA,NA,NA,NA,NA,NA,2026,2,"NV","City","Reno,NV","Reno,NV,City","City"
"WA0030200","Richland",NA,NA,NA,NA,NA,NA,NA,2026,2,"WA","City","Richland,WA","Richland,WA,City","City"
"CA0331300","Riverside",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Riverside,CA","Riverside,CA,City","City"
"VA1230000","Roanoke",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","City","Roanoke,VA","Roanoke,VA,City","City"
"MI631910X","Rochester Hills",NA,NA,NA,NA,NA,NA,NA,2026,2,"MI","City","Rochester Hills,MI","Rochester Hills,MI,City","City"
"NY0270100","Rochester",NA,NA,NA,NA,NA,NA,NA,2026,2,"NY","City","Rochester,NY","Rochester,NY,City","City"
"GA0600500","Roswell",NA,NA,NA,NA,NA,NA,NA,2026,2,"GA","City","Roswell,GA","Roswell,GA,City","City"
"CA0340000","Sacramento",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","County","Sacramento,CA","Sacramento,CA,County","County"
"CA0361000","San Bernardino",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","San Bernardino,CA","San Bernardino,CA,City","City"
"CA0371100","San Diego",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","San Diego,CA","San Diego,CA,City","City"
"CA0370000","San Diego",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","County","San Diego,CA","San Diego,CA,County","County"
"CA0411600","San Mateo",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","San Mateo,CA","San Mateo,CA,City","City"
"UT0180500","Sandy",NA,NA,NA,NA,NA,NA,NA,2026,2,"UT","City","Sandy,UT","Sandy,UT,City","City"
"CA0440200","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Santa Cruz,CA","Santa Cruz,CA,City","City"
"NM0260100","Santa Fe",NA,NA,NA,NA,NA,NA,NA,2026,2,"NM","City","Santa Fe,NM","Santa Fe,NM,City","City"
"CA0196500","Santa Monica",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Santa Monica,CA","Santa Monica,CA,City","City"
"CA0490500","Santa Rosa",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Santa Rosa,CA","Santa Rosa,CA,City","City"
"UT0252200","Saratoga Springs",NA,NA,NA,NA,NA,NA,NA,2026,2,"UT","City","Saratoga Springs,UT","Saratoga Springs,UT,City","City"
