"city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state_id","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","population"
"Lower Merion, PA","Lower Merion",0,0,1,1,3,79,5,2020,3,"PA","Lower Merion, PA,City",2,87,"Lower Merion","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",64642,64350,NA,NA,"","Lower Merion Township","PA","Northeast","Middle Atlantic",64350
"Lower Paxton, PA","Lower Paxton",0,2,0,7,4,51,2,2018,9,"PA","Lower Paxton, PA,City",9,57,"Lower Paxton","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",54552,55204,NA,NA,"","Lower Paxton Township","PA","Northeast","Middle Atlantic",55204
"Lynchburg, VA","Lynchburg",0,1,4,12,18,110,15,2017,2,"VA","Lynchburg, VA,City",17,143,"Lynchburg","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",79421,79509,NA,NA,"","Lynchburg","VA","South","South Atlantic",79509
"Manchester, CT","Manchester",0,2,2,9,11,102,29,2023,5,"CT","Manchester, CT,City",13,142,"Manchester","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",59293,59408,NA,NA,"","Manchester","CT","Northeast","New England",59408
"Mansfield, TX","Mansfield",0,2,2,4,9,64,8,2020,9,"TX","Mansfield, TX,City",8,81,"Mansfield","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",75993,78788,NA,NA,"","Mansfield","TX","South","West South Central",78788
"Marana, AZ","Marana",0,0,0,1,1,86,1,2021,8,"AZ","Marana, AZ,City",1,88,"Marana","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",57119,57718,NA,NA,"","Marana","AZ","West","Mountain",57718
"McAllen, TX","McAllen",0,5,2,5,14,283,2,2019,4,"TX","McAllen, TX,City",12,299,"McAllen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",145510,145684,NA,NA,"","McAllen","TX","South","West South Central",145684
"Mckinney, TX","Mckinney",1,5,3,9,14,101,20,2024,4,"TX","Mckinney, TX,City",18,135,"Mckinney","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",208415,212716,NA,NA,"","McKinney","TX","South","West South Central",212716
"Memphis, TN","Memphis",16,62,170,533,415,2137,592,2024,11,"TN","Memphis, TN,City",781,3144,"Memphis","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency Aggregated","Open Source",624944,616061,NA,NA,"","Memphis","TN","South","East South Central",616061
"Meridian, ID","Meridian",0,1,0,6,3,52,0,2018,1,"ID","Meridian, ID,City",7,55,"Meridian","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",132522,135239,NA,NA,"","Meridian","ID","West","Mountain",135239
"Mesa, AZ","Mesa",2,28,38,118,144,636,75,2017,10,"AZ","Mesa, AZ,City",186,855,"Mesa","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",513116,515848,NA,NA,"","Mesa","AZ","West","Mountain",515848
"Mesquite, TX","Mesquite",1,6,15,19,47,239,66,2019,2,"TX","Mesquite, TX,City",41,352,"Mesquite","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",147226,147926,NA,NA,"","Mesquite","TX","South","West South Central",147926
"Miami Beach, FL","Miami Beach",0,2,10,18,52,369,51,2023,11,"FL","Miami Beach, FL,City",30,472,"Miami Beach","https://www.miamibeachfl.gov/yourmbpd/monthlycrimesdatareport/","Agency Aggregated","Open Source",89017,78824,NA,NA,"Population via FBI CIUS 2020","Miami Beach","FL","South","South Atlantic",78824
"Midland, TX","Midland",1,2,0,4,3,7,3,2021,1,"TX","Midland, TX,City",7,13,"Midland","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",129945,135253,NA,NA,"Inferred Jul-Dec 2021 from police reported annual total","Midland","TX","South","West South Central",135253
"Millcreek, PA","Millcreek",0,2,1,9,1,23,2,2024,9,"PA","Millcreek, PA,City",12,26,"Millcreek","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",53119,53119,NA,NA,"Erie County","Millcreek Township, Erie County","PA","Northeast","Middle Atlantic",53119
"Milwaukee, WI","Milwaukee",15,NA,NA,NA,NA,NA,NA,2022,3,"WI","Milwaukee, WI,City",15,0,"Milwaukee","https://data.milwaukee.gov/dataset/wibr","Agency RMS","Open Source",561743,558698,NA,NA,"","Milwaukee","WI","Midwest","East North Central",558698
"Mission, TX","Mission",0,5,3,13,9,94,7,2022,6,"TX","Mission, TX,City",21,110,"Mission","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",86577,87031,NA,NA,"","Mission","TX","South","West South Central",87031
"Missouri City, TX","Missouri City",0,2,2,8,8,47,9,2022,9,"TX","Missouri City, TX,City",12,64,"Missouri City","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",75323,77560,NA,NA,"","Missouri City","TX","South","West South Central",77560
"Moline, IL","Moline",1,3,0,16,5,62,15,2022,3,"IL","Moline, IL,City",20,82,"Moline","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",42009,42009,NA,NA,"","Moline","IL","Midwest","East North Central",41601
"Montgomery, MD","Montgomery",2,32,45,65,130,1168,82,2019,12,"MD","Montgomery, MD,County",144,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montgomery, TX","Montgomery",0,15,5,75,84,272,69,2023,2,"TX","Montgomery, TX,County",95,425,"Montgomery","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",565355,565355,NA,NA,"","Montgomery","TX","South","West South Central",565355
"Mount Prospect, IL","Mount Prospect",0,0,1,2,4,54,0,2018,5,"IL","Mount Prospect, IL,City",3,58,"Mount Prospect","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",53932,53932,NA,NA,"Inferred Jan-Mar 2021 counts from annual average","Mount Prospect","IL","Midwest","East North Central",53932
"NA, MN",NA,1,23,59,85,113,638,268,2021,2,"MN","NA, MN,City",168,1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nashua, NH","Nashua",0,5,0,6,5,102,4,2019,3,"NH","Nashua, NH,City",11,111,"Nashua","https://crimestats.dos.nh.gov/","State UCR","Open Source",NA,91145,NA,NA,"","Nashua","NH","Northeast","New England",91145
"Nashville, TN","Nashville",12,NA,194,484,387,1682,244,2017,5,"TN","Nashville, TN,City",690,2313,"Nashville","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency RMS","Open Source",679562,690495,NA,NA,"","Metropolitan Nashville Police Department","TN","South","East South Central",690495
"National City, CA","National City",0,3,11,26,22,98,29,2022,1,"CA","National City, CA,City",40,149,"National City","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",55676,55270,NA,NA,"","National City","CA","West","Pacific",55270
"New Braunfels, TX","New Braunfels",0,2,1,24,15,54,12,2021,4,"TX","New Braunfels, TX,City",27,81,"New Braunfels","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",107017,111942,NA,NA,"","New Braunfels","TX","South","West South Central",111942
"New Britain, CT","New Britain",0,3,6,22,21,118,31,2018,8,"CT","New Britain, CT,City",31,170,"New Britain","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",73621,74609,NA,NA,"","New Britain","CT","Northeast","New England",74609
