"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Billings,MT,City","Billings",0,9,4,52,18,170,28,2025,1,"Billings,MT","City",65,216,"Billings","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",121365,NA,NA,"","","MT0560100","Billings",NA,"West","Mountain","billings","MT",122105,"city 100,000 thru 249,999",NA,NA,NA,NA,121365,"Billings, MT","City","MT","MT"
"Birmingham,AL,City","Birmingham",7,NA,NA,NA,NA,NA,NA,2025,1,"Birmingham,AL","City",7,0,"Birmingham","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",195224,NA,NA,"","","AL0010200","Birmingham",NA,"South","East South Central","birmingham","AL",193470,"city 100,000 thru 249,999",NA,NA,NA,102,195224,"Birmingham, AL","City","AL","AL"
"Bismarck,ND,City","Bismarck",0,6,3,6,14,91,12,2025,1,"Bismarck,ND","City",15,117,"Bismarck","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",74802,NA,NA,"","","ND0080100","Bismarck",NA,"Midwest","West North Central","bismarck","ND",75546,"city 50,000 thru 99,999",NA,NA,NA,NA,74802,"Bismarck, ND","City","ND","ND"
"Blaine,MN,City","Blaine",1,0,1,6,11,72,5,2024,3,"Blaine,MN","City",8,88,"Blaine","https://cde.state.mn.us/","State UCR","Open Source",72384,NA,NA,"","","MN0020200","Blaine",NA,"Midwest","West North Central","blaine","MN",74913,"city 50,000 thru 99,999",NA,NA,NA,NA,72384,"Blaine, MN","City","MN","MN"
"Bloomfield,NJ,City","Bloomfield",0,0,1,2,0,39,8,2025,1,"Bloomfield,NJ","City",3,47,"Bloomfield","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",55161,NA,NA,"Inferred Jan - Mar 2021 from annual total","","NJ0070200","Bloomfield",NA,"Northeast","Middle Atlantic","bloomfield","NJ",55161,"city 50,000 thru 99,999",NA,NA,NA,NA,53181,"Bloomfield, NJ","City","NJ","NJ"
"Bloomington,MN,City","Bloomington",0,1,2,4,9,199,17,2019,2,"Bloomington,MN","City",7,225,"Bloomington","https://cde.state.mn.us/","State UCR","Open Source",86793,NA,NA,"","","MN0270100","Bloomington",NA,"Midwest","West North Central","bloomington","MN",86598,"city 50,000 thru 99,999",NA,NA,NA,NA,86793,"Bloomington, MN","City","MN","MN"
"Blue Springs,MO,City","Blue Springs",0,0,0,2,10,82,18,2025,1,"Blue Springs,MO","City",2,110,"Blue Springs","https://showmecrime.mo.gov/","State UCR","Open Source",59896,NA,NA,"","","MO0480100","Blue Springs",NA,"Midwest","West North Central","blue springs","MO",61096,"city 50,000 thru 99,999",NA,NA,NA,NA,59896,"Blue Springs, MO","City","MO","MO"
"Bolingbrook,IL,City","Bolingbrook",0,1,2,12,5,26,6,2025,1,"Bolingbrook,IL","City",15,37,"Bolingbrook","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74138,NA,NA,"","","IL0990200","Bolingbrook",NA,"Midwest","East North Central","bolingbrook","IL",72708,"city 50,000 thru 99,999",NA,NA,NA,NA,74138,"Bolingbrook, IL","City","IL","IL"
"Boone,KY,County","Boone",0,5,0,1,18,60,9,2018,12,"Boone,KY","County",6,87,"Boone","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",107867,NA,NA,"","","KY0080000","Boone",NA,"South","East South Central","boone","KY",110398,"msa-county 100,000+",NA,NA,NA,NA,107867,"Boone, KY","County","KY","KY"
"Boston,MA,City","Boston",6,16,50,232,65,862,73,2025,1,"Boston,MA","City",304,1000,"Boston","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",642823,NA,NA,"","","MA0130100","Boston",NA,"Northeast","New England","boston","MA",659049,"city 500,000 thru 999,999",NA,NA,NA,NA,642823,"Boston, MA","City","MA","MA"
