"city_state_id","ori.x","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori.y","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Baltimore,MD,County","MD0030100","Baltimore",2,24,174,214,363,1473,189,2017,1,"County","Baltimore,MD","County",414,2025,"Baltimore","https://opendata.baltimorecountymd.gov/pages/dash","Agency Aggregated","Open Source",845222,NA,NA,"","","MD0030100","Baltimore",NA,"South","South Atlantic","baltimore county pol dep","MD",852726,"msa-county 100,000+",NA,NA,NA,NA,845222,"Baltimore, MD","County","MD","MD"
"Battle Creek,MI,City","MI1323700","Battle Creek",0,9,9,32,39,109,9,2017,1,"City","Battle Creek,MI","City",50,157,"Battle Creek","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",60969,NA,NA,"","","MI1323700","Battle Creek",NA,"Midwest","East North Central","battle creek","MI",61163,"city 50,000 thru 99,999",NA,NA,NA,NA,60969,"Battle Creek, MI","City","MI","MI"
"Baytown,TX,City","TX1010100","Baytown",0,3,18,10,44,160,29,2017,1,"City","Baytown,TX","City",31,233,"Baytown","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83809,NA,NA,"","","TX1010100","Baytown",NA,"South","West South Central","baytown","TX",78692,"city 50,000 thru 99,999",NA,NA,NA,NA,83809,"Baytown, TX","City","TX","TX"
"Beaufort,SC,County","SC0070000","Beaufort",0,4,5,15,24,101,13,2017,1,"County","Beaufort,SC","County",24,138,"Beaufort","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",132948,NA,NA,"","","SC0070000","Beaufort",NA,"South","South Atlantic","beaufort","SC",134553,"msa-county 100,000+",NA,NA,NA,NA,132948,"Beaufort, SC","County","SC","SC"
"Beaumont,CA,City","CA0330200","Beaumont",0,2,0,7,10,55,11,2017,1,"City","Beaumont,CA","City",9,76,"Beaumont","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",60294,NA,NA,"","","CA0330200","Beaumont",NA,"West","Pacific","beaumont","CA",60294,"city 50,000 thru 99,999",NA,NA,NA,NA,57819,"Beaumont, CA","City","CA","CA"
"Beaumont,TX,City","TX1230100","Beaumont",2,11,38,58,132,293,24,2017,1,"City","Beaumont,TX","City",109,449,"Beaumont","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110671,NA,NA,"","","TX1230100","Beaumont",NA,"South","West South Central","beaumont","TX",111320,"city 100,000 thru 249,999",NA,NA,NA,NA,110671,"Beaumont, TX","City","TX","TX"
"Beaverton,OR,City","OR0340100","Beaverton",0,3,5,6,20,109,18,2017,1,"City","Beaverton,OR","City",14,147,"Beaverton","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",96840,NA,NA,"","","OR0340100","Beaverton",NA,"West","Pacific","beaverton","OR",96762,"city 50,000 thru 99,999",NA,NA,NA,NA,96840,"Beaverton, OR","City","OR","OR"
"Bellingham,WA,City","WA0370100","Bellingham",0,NA,7,NA,NA,273,17,2017,1,"City","Bellingham,WA","City",7,290,"Bellingham","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",94968,NA,NA,"","","WA0370100","Bellingham",NA,"West","Pacific","bellingham","WA",95717,"city 50,000 thru 99,999",NA,NA,NA,NA,94968,"Bellingham, WA","City","WA","WA"
"Bend,OR,City","OR0090100","Bend",0,4,3,6,28,158,12,2017,1,"City","Bend,OR","City",13,198,"Bend","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",105099,NA,NA,"","","OR0090100","Bend",NA,"West","Pacific","bend","OR",106241,"city 100,000 thru 249,999",NA,NA,NA,NA,105099,"Bend, OR","City","OR","OR"
"Bentonville,AR,City","AR0040100","Bentonville",2,5,1,5,5,52,6,2017,1,"City","Bentonville,AR","City",13,63,"Bentonville","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",61109,NA,NA,"","","AR0040100","Bentonville",NA,"South","West South Central","bentonville","AR",61109,"city 50,000 thru 99,999",NA,NA,NA,101,59465,"Bentonville, AR","City","AR","AR"
