"city_state_id","Agency Name","Month","Year","vio_crime","prop_crime","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Agency","State","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","ori","pub_agency_name","state_abbr","region_name","division_name","population","city_state","Agency_Type","State_ref"
"Chicopee,MA,City","Chicopee",1,2017,23,122,0,3,4,16,26,83,13,"Chicopee","Northeast","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",55043,NA,NA,"","MA0070500","Chicopee","MA","Northeast","New England",55043,"Chicopee,MA","City","MA"
"Chula Vista,CA,City","Chula Vista",6,2023,65,328,0,3,18,44,22,206,100,"Chula Vista","West","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",280748,NA,NA,"","CA0370200","Chula Vista","CA","West","Pacific",280748,"Chula Vista,CA","City","CA"
"Cicero,IL,City","Cicero",1,2017,20,132,0,1,12,7,13,95,24,"Cicero","Midwest","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",80455,NA,NA,"","IL0162100","Cicero","IL","Midwest","East North Central",80455,"Cicero,IL","City","IL"
"Cincinnati,OH,City","Cincinnati",1,2017,228,1287,6,24,100,98,293,847,147,"Cincinnati","Midwest","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",309484,NA,NA,"","OHCIP0000","Cincinnati","OH","Midwest","East North Central",309484,"Cincinnati,OH","City","OH"
"Clackamas,OR,County","Clackamas",1,2017,30,472,0,9,7,14,53,339,80,"Clackamas","West","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",243311,NA,NA,"","OR0030000","Clackamas","OR","West","Pacific",243311,"Clackamas,OR","County","OR"
"Cleveland,OH,City","Cleveland",1,2017,509,1760,11,33,289,176,561,829,370,"Cleveland","Midwest","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",358146,NA,NA,"","OHCLP0000","Cleveland","OH","Midwest","East North Central",358146,"Cleveland,OH","City","OH"
"Coeur D Alene,ID,City","Coeur D Alene",1,2017,10,91,0,3,1,6,14,69,8,"Coeur D Alene","West","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",57653,NA,NA,"","ID0280100","Coeur D Alene","ID","West","Mountain",57653,"Coeur D Alene,ID","City","ID"
"Colerain Township,OH,City","Colerain Township",1,2017,10,161,0,2,2,6,11,147,3,"Colerain Township","Midwest","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",58268,NA,NA,"","OH0314200","Colerain Township","OH","Midwest","East North Central",58268,"Colerain Township,OH","City","OH"
"College Station,TX,City","College Station",1,2017,23,202,0,4,11,8,50,144,8,"College Station","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",126136,NA,NA,"","TX0210200","College Station","TX","South","West South Central",126136,"College Station,TX","City","TX"
"Colorado Springs,CO,City","Colorado Springs",1,2017,231,1295,5,74,29,123,184,965,146,"Colorado Springs","West","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",489254,NA,NA,"","CO0210100","Colorado Springs","CO","West","Mountain",489254,"Colorado Springs,CO","City","CO"
