"","Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year"
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1081","SMITHFIELD","0","0","0","0","1","7","0","0","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1082","SMITHFIELD","0","0","0","0","0","5","0","0","2",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1083","SMITHFIELD","0","0","0","0","1","6","1","0","3",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1084","SMITHFIELD","0","0","0","0","0","6","2","0","4",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1085","SMITHFIELD","NR","1","0","0","0","9","0","0","5",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1086","SMITHFIELD","0","0","0","1","0","7","1","0","6",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1087","SMITHFIELD","NR","0","0","0","0","15","0","0","7",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1088","SMITHFIELD","NR","1","0","0","2","16","0","0","8",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1089","SMITHFIELD","0","0","0","0","1","6","0","0","9",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1090","SMITHFIELD","NR","1","0","0","0","8","1","0","10",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1091","SMITHFIELD","0","0","0","0","1","14","3","0","11",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1092","SMITHFIELD","0","1","0","0","1","4","0","0","12",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1093","SMITHFIELD","0","0","0","0","1","6","0","0","1",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1094","SMITHFIELD","0","0","0","0","1","11","1","0","2",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1095","SMITHFIELD","0","0","1","0","4","7","1","0","3",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1096","SMITHFIELD","0","0","1","1","2","14","1","0","4",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1097","SMITHFIELD","0","0","0","1","1","13","1","0","5",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1098","SMITHFIELD","0","1","0","0","3","13","0","0","6",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1099","SMITHFIELD","0","0","0","0","0","10","0","0","7",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1100","SMITHFIELD","0","0","1","1","2","19","1","0","8",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1101","SMITHFIELD","0","0","0","1","0","9","1","0","9",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1102","SMITHFIELD","NR","0","0","0","2","19","2","0","10",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1103","SMITHFIELD","NR","0","0","1","2","9","0","0","11",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1104","SMITHFIELD","0","0","0","0","0","7","0","0","12",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1105","SMITHFIELD","0","0","0","0","0","8","0","1","1",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1106","SMITHFIELD","0","0","0","0","2","14","0","0","2",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1107","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","3",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1108","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","4",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1109","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","5",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1110","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","6",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1111","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","7",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1112","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","8",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1113","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","9",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1114","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","10",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1115","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","11",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1116","SMITHFIELD","NR","NR","NR","NR","NR","NR","NR","NR","12",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1117","SOUTH KINGSTOWN","0","0","0","0","1","3","0","1","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1118","SOUTH KINGSTOWN","0","0","0","0","0","6","1","0","2",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1119","SOUTH KINGSTOWN","0","1","0","0","0","6","0","0","3",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1120","SOUTH KINGSTOWN","0","0","0","1","0","4","0","0","4",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1121","SOUTH KINGSTOWN","NR","0","0","0","1","10","0","0","5",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1122","SOUTH KINGSTOWN","0","1","0","0","3","12","0","0","6",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1123","SOUTH KINGSTOWN","NR","1","0","0","0","15","1","0","7",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Texas\Formatted Data.1124","SOUTH KINGSTOWN","NR","2","0","0","0","19","1","0","8",2022
