"ORI.Number","ORI.9.Digit","State","Agency.Name","Population","Year","Month","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","City_viz","State_viz","City","samp","state_name","ucr_agency_name","state_ucr_link","Date"
NA,NA,"arizona","Tempe PD",NA,2022,4,0,19,22,67,73,587,77,1,"Tempe","Arizona","tempe",1,"Arizona","TEMPE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Lake Havasu City PD",NA,2022,4,0,2,0,13,3,53,11,0,"Lake havasu city","Arizona","lake havasu city",1,"Arizona","LAKE HAVASU CITY","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Marana PD",NA,2022,4,0,0,2,2,9,108,3,1,"Marana","Arizona","marana",1,"Arizona","MARANA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Casa Grande PD",NA,2022,4,2,3,5,26,17,99,13,0,"Casa grande","Arizona","casa grande",1,"Arizona","CASA GRANDE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Maricopa PD",NA,2022,4,0,2,0,12,3,49,4,1,"Maricopa","Arizona","maricopa",1,"Arizona","MARICOPA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Yuma PD",NA,2022,4,1,5,4,34,45,96,12,2,"Yuma","Arizona","yuma",1,"Arizona","YUMA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Flagstaff PD",NA,2022,5,0,6,6,21,32,147,6,6,"Flagstaff","Arizona","flagstaff",1,"Arizona","FLAGSTAFF","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Avondale PD",NA,2022,5,0,5,6,26,25,196,24,1,"Avondale","Arizona","avondale",1,"Arizona","AVONDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Buckeye PD",NA,2022,5,0,2,1,15,11,82,5,0,"Buckeye","Arizona","buckeye",1,"Arizona","BUCKEYE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Chandler PD",NA,2022,5,0,9,13,38,36,322,43,1,"Chandler","Arizona","chandler",1,"Arizona","CHANDLER","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Gilbert PD",NA,2022,5,0,9,5,17,19,195,13,0,"Gilbert","Arizona","gilbert",1,"Arizona","GILBERT","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Glendale PD",NA,2022,5,1,10,14,79,63,485,72,1,"Glendale","Arizona","glendale",1,"Arizona","GLENDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Goodyear PD",NA,2022,5,1,2,4,3,35,105,19,1,"Goodyear","Arizona","goodyear",1,"Arizona","GOODYEAR","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Mesa PD",NA,2022,5,1,21,43,136,114,655,104,2,"Mesa","Arizona","mesa",1,"Arizona","MESA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Queen Creek Police Department",NA,2022,5,0,0,0,6,8,63,3,0,"Queen creek","Arizona","queen creek",1,"Arizona","QUEEN CREEK","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Peoria PD",NA,2022,5,1,1,3,27,31,226,24,1,"Peoria","Arizona","peoria",1,"Arizona","PEORIA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Scottsdale PD",NA,2022,5,0,7,3,27,64,428,32,0,"Scottsdale","Arizona","scottsdale",1,"Arizona","SCOTTSDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Surprise PD",NA,2022,5,0,1,0,11,22,182,12,4,"Surprise","Arizona","surprise",1,"Arizona","SURPRISE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Tempe PD",NA,2022,5,1,13,10,71,72,559,70,0,"Tempe","Arizona","tempe",1,"Arizona","TEMPE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Lake Havasu City PD",NA,2022,5,0,6,0,6,6,58,10,0,"Lake havasu city","Arizona","lake havasu city",1,"Arizona","LAKE HAVASU CITY","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Tucson PD",NA,2022,5,0,0,0,0,0,0,0,0,"Tucson","Arizona","tucson",1,"Arizona","TUCSON","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Marana PD",NA,2022,5,0,0,2,2,8,108,1,2,"Marana","Arizona","marana",1,"Arizona","MARANA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Casa Grande PD",NA,2022,5,0,2,5,38,27,107,24,1,"Casa grande","Arizona","casa grande",1,"Arizona","CASA GRANDE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Maricopa PD",NA,2022,5,0,1,2,14,2,45,3,0,"Maricopa","Arizona","maricopa",1,"Arizona","MARICOPA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Yuma PD",NA,2022,5,1,3,1,41,39,61,19,3,"Yuma","Arizona","yuma",1,"Arizona","YUMA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-05-01
NA,NA,"arizona","Flagstaff PD",NA,2022,6,2,4,3,32,20,109,15,2,"Flagstaff","Arizona","flagstaff",1,"Arizona","FLAGSTAFF","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Avondale PD",NA,2022,6,0,3,9,26,24,149,24,0,"Avondale","Arizona","avondale",1,"Arizona","AVONDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Buckeye PD",NA,2022,6,0,9,0,11,7,110,9,0,"Buckeye","Arizona","buckeye",1,"Arizona","BUCKEYE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Chandler PD",NA,2022,6,0,10,5,34,38,376,37,2,"Chandler","Arizona","chandler",1,"Arizona","CHANDLER","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Gilbert PD",NA,2022,6,1,6,2,23,30,185,17,1,"Gilbert","Arizona","gilbert",1,"Arizona","GILBERT","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Glendale PD",NA,2022,6,1,20,13,85,87,353,88,3,"Glendale","Arizona","glendale",1,"Arizona","GLENDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Goodyear PD",NA,2022,6,1,0,2,6,25,144,9,1,"Goodyear","Arizona","goodyear",1,"Arizona","GOODYEAR","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Mesa PD",NA,2022,6,3,25,20,152,83,594,99,3,"Mesa","Arizona","mesa",1,"Arizona","MESA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Queen Creek Police Department",NA,2022,6,0,1,0,5,6,34,1,0,"Queen creek","Arizona","queen creek",1,"Arizona","QUEEN CREEK","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Peoria PD",NA,2022,6,0,9,3,19,16,171,13,0,"Peoria","Arizona","peoria",1,"Arizona","PEORIA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Scottsdale PD",NA,2022,6,0,7,5,23,40,369,34,1,"Scottsdale","Arizona","scottsdale",1,"Arizona","SCOTTSDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Surprise PD",NA,2022,6,0,2,4,9,8,142,11,2,"Surprise","Arizona","surprise",1,"Arizona","SURPRISE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Tempe PD",NA,2022,6,0,11,9,52,97,531,69,1,"Tempe","Arizona","tempe",1,"Arizona","TEMPE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Lake Havasu City PD",NA,2022,6,0,7,1,15,10,47,2,0,"Lake havasu city","Arizona","lake havasu city",1,"Arizona","LAKE HAVASU CITY","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Tucson PD",NA,2022,6,0,0,0,0,0,0,0,0,"Tucson","Arizona","tucson",1,"Arizona","TUCSON","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Marana PD",NA,2022,6,0,0,1,2,5,118,3,1,"Marana","Arizona","marana",1,"Arizona","MARANA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Casa Grande PD",NA,2022,6,0,5,2,18,14,116,9,1,"Casa grande","Arizona","casa grande",1,"Arizona","CASA GRANDE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Maricopa PD",NA,2022,6,0,0,0,3,2,27,2,0,"Maricopa","Arizona","maricopa",1,"Arizona","MARICOPA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Yuma PD",NA,2022,6,0,4,0,50,32,73,18,1,"Yuma","Arizona","yuma",1,"Arizona","YUMA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-06-01
NA,NA,"arizona","Flagstaff PD",NA,2022,7,0,3,2,10,29,138,4,0,"Flagstaff","Arizona","flagstaff",1,"Arizona","FLAGSTAFF","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
NA,NA,"arizona","Avondale PD",NA,2022,7,0,3,4,21,28,187,24,2,"Avondale","Arizona","avondale",1,"Arizona","AVONDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
NA,NA,"arizona","Buckeye PD",NA,2022,7,0,5,2,11,10,68,6,1,"Buckeye","Arizona","buckeye",1,"Arizona","BUCKEYE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
NA,NA,"arizona","Chandler PD",NA,2022,7,1,12,2,30,33,300,34,1,"Chandler","Arizona","chandler",1,"Arizona","CHANDLER","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
NA,NA,"arizona","Gilbert PD",NA,2022,7,0,4,1,19,26,212,17,1,"Gilbert","Arizona","gilbert",1,"Arizona","GILBERT","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
NA,NA,"arizona","Glendale PD",NA,2022,7,1,9,23,79,107,601,120,2,"Glendale","Arizona","glendale",1,"Arizona","GLENDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
NA,NA,"arizona","Goodyear PD",NA,2022,7,0,1,0,20,20,135,9,1,"Goodyear","Arizona","goodyear",1,"Arizona","GOODYEAR","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
NA,NA,"arizona","Mesa PD",NA,2022,7,1,21,23,152,99,499,91,1,"Mesa","Arizona","mesa",1,"Arizona","MESA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
NA,NA,"arizona","Queen Creek Police Department",NA,2022,7,0,1,0,15,6,53,2,0,"Queen creek","Arizona","queen creek",1,"Arizona","QUEEN CREEK","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
NA,NA,"arizona","Peoria PD",NA,2022,7,0,5,4,25,21,174,31,1,"Peoria","Arizona","peoria",1,"Arizona","PEORIA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-07-01
