"city_state_id","city_state","Agency Name","State","date","Agency_Type"
"Moore,OK,City","Moore,OK","Moore","OK","jul_25","City"
"Mooresville,NC,City","Mooresville,NC","Mooresville","NC","jul_25","City"
"Mount Pleasant,SC,City","Mount Pleasant,SC","Mount Pleasant","SC","jul_25","City"
"Mount Vernon,NY,City","Mount Vernon,NY","Mount Vernon","NY","jul_25","City"
"Mountain View,CA,City","Mountain View,CA","Mountain View","CA","jul_25","City"
"Murfreesboro,TN,City","Murfreesboro,TN","Murfreesboro","TN","jul_25","City"
"Murrieta,CA,City","Murrieta,CA","Murrieta","CA","jul_25","City"
"Napa,CA,City","Napa,CA","Napa","CA","jul_25","City"
"Nashville,TN,City","Nashville,TN","Nashville","TN","jul_25","City"
"National City,CA,City","National City,CA","National City","CA","jul_25","City"
"New Bedford,MA,City","New Bedford,MA","New Bedford","MA","jul_25","City"
"New Braunfels,TX,City","New Braunfels,TX","New Braunfels","TX","jul_25","City"
"New Britain,CT,City","New Britain,CT","New Britain","CT","jul_25","City"
"New Hanover,NC,County","New Hanover,NC","New Hanover","NC","jul_25","County"
"New Orleans,LA,City","New Orleans,LA","New Orleans","LA","jul_25","City"
"New Rochelle,NY,City","New Rochelle,NY","New Rochelle","NY","jul_25","City"
"New York City,NY,City","New York City,NY","New York City","NY","jul_25","City"
"Newark,NJ,City","Newark,NJ","Newark","NJ","jul_25","City"
"Newark,OH,City","Newark,OH","Newark","OH","jul_25","City"
"Newport Beach,CA,City","Newport Beach,CA","Newport Beach","CA","jul_25","City"
"Noblesville,IN,City","Noblesville,IN","Noblesville","IN","jul_25","City"
"Norfolk,VA,City","Norfolk,VA","Norfolk","VA","jul_25","City"
"North Bergen Township,NJ,City","North Bergen Township,NJ","North Bergen Township","NJ","jul_25","City"
"North Charleston,SC,City","North Charleston,SC","North Charleston","SC","jul_25","City"
"North Little Rock,AR,City","North Little Rock,AR","North Little Rock","AR","jul_25","City"
"North Richland Hills,TX,City","North Richland Hills,TX","North Richland Hills","TX","jul_25","City"
"Novi,MI,City","Novi,MI","Novi","MI","jul_25","City"
"O'Fallon,MO,City","O'Fallon,MO","O'Fallon","MO","jul_25","City"
"Oak Lawn,IL,City","Oak Lawn,IL","Oak Lawn","IL","jul_25","City"
"Oceanside,CA,City","Oceanside,CA","Oceanside","CA","jul_25","City"
"Odessa,TX,City","Odessa,TX","Odessa","TX","jul_25","City"
"Ogden,UT,City","Ogden,UT","Ogden","UT","jul_25","City"
"Oklahoma City,OK,City","Oklahoma City,OK","Oklahoma City","OK","jul_25","City"
