"","pds","Total","Note"
"191","St Louis",1,"MVT_pri1"
"192","Sugar Land",1,"Burglary_pri8"
"193","Tyler",1,"Theft_pri8"
"194","Upper Darby",1,"MVT_pri1"
"195","Victoria",1,"Theft_pri8"
"196","West Hartford",1,"Theft_pri1"
"197","Abington",0,""
"198","Albany",0,""
"199","Alhambra",0,""
"200","Antioch",0,""
"201","Apple Valley",0,""
"202","Barnstable",0,""
"203","Beaumont",0,""
"204","Bend",0,""
"205","Bensalem",0,""
"206","Bethlehem",0,""
"207","Bloomington",0,""
"208","Blue Springs",0,""
"209","Bolingbrook",0,""
"210","Bristol",0,""
"211","Brookline",0,""
"212","Buffalo",0,""
"213","Burleson",0,""
"214","Cambridge",0,""
"215","Carlsbad",0,""
"216","Carrollton",0,""
"217","Cedar Park",0,""
"218","Champaign",0,""
"219","Chandler",0,""
"220","Chesapeake",0,""
"221","Chicopee",0,""
"222","Coeur D Alene",0,""
"223","Colerain Township",0,""
"224","College Station",0,""
"225","Columbia",0,""
"226","Concord",0,""
"227","Conroe",0,""
"228","Coon Rapids",0,""
"229","Cranston",0,""
"230","Cuyahoga Falls",0,""
"231","Danbury",0,""
"232","Dayton",0,""
"233","Decatur",0,""
"234","Desoto",0,""
"235","Dunwoody",0,""
"236","Durham",0,""
"237","Eagan",0,""
"238","Eden Prairie",0,""
"239","Edina",0,""
"240","El Cajon",0,""
"241","El Paso",0,""
"242","Elyria",0,""
"243","Erie",0,""
"244","Escondido",0,""
"245","Eugene",0,""
"246","Euless",0,""
"247","Evanston",0,""
"248","Everett",0,""
"249","Fairfield",0,""
"250","FL, Full Sample",0,""
"251","Florissant",0,""
"252","Flower Mound",0,""
"253","Fort Worth",0,""
"254","Framingham",0,""
"255","Galveston",0,""
"256","Georgetown",0,""
"257","Goodyear",0,""
"258","Grand Prairie",0,""
"259","Grapevine",0,""
"260","Green Township",0,""
"261","Greenwich",0,""
"262","Hampton",0,""
"263","Harlingen",0,""
"264","Harrisonburg",0,""
"265","Haverhill",0,""
"266","Hillsboro",0,""
"267","Idaho Falls",0,""
"268","Irving",0,""
"269","Jackson",0,""
"270","Kettering",0,""
"271","Kyle",0,""
"272","La Mesa",0,""
"273","Lake Havasu City",0,""
"274","Lakeville",0,""
"275","Lakewood",0,""
"276","Laredo",0,""
"277","League City",0,""
"278","Leander",0,""
"279","Lee's Summit",0,""
"280","Little Elm",0,""
"281","Long Beach",0,""
"282","Longview",0,""
"283","Lowell",0,""
"284","Lower Merion",0,""
"285","Lower Paxton",0,""
"286","Lynchburg",0,""
"287","Lynn",0,""
"288","Malden",0,""
"289","Mansfield",0,""
"290","Maple Grove",0,""
"291","Maricopa",0,""
"292","Mckinney",0,""
"293","Medford",0,""
"294","Meridian",0,""
"295","Methuen",0,""
"296","Miami Beach",0,""
"297","Milford",0,""
"298","Minnetonka",0,""
"299","Missouri City",0,""
"300","Moline",0,""
"301","Mount Vernon",0,""
"302","Nashville",0,""
"303","National City",0,""
"304","New Braunfels",0,""
"305","Newton",0,""
"306","Normal",0,""
"307","North Bergen Township",0,""
"308","North Richland Hills",0,""
"309","Oak Lawn",0,""
"310","Oceanside",0,""
"311","Pawtucket",0,""
"312","Peabody",0,""
"313","Pflugerville",0,""
"314","Plymouth",0,""
"315","Quincy",0,""
"316","Raleigh",0,""
"317","Reading",0,""
"318","Revere",0,""
"319","Richardson",0,""
"320","Richmond",0,""
"321","Rockwall",0,""
"322","Round Rock",0,""
"323","Rowlett",0,""
"324","San Jose",0,""
"325","San Marcos",0,""
"326","Schaumburg",0,""
"327","Skokie",0,""
"328","Somerville",0,""
"329","St. Cloud",0,""
"330","Stamford",0,""
"331","State College",0,""
"332","Stratford",0,""
"333","Suffolk",0,""
"334","Taunton",0,""
"335","Temple",0,""
"336","Texas City",0,""
"337","Tigard",0,""
"338","Tinley Park",0,""
"339","Tracy",0,""
"340","Waltham",0,""
"341","Warwick",0,""
"342","Waterbury",0,""
"343","West Haven",0,""
"344","Westminster",0,""
"345","Weymouth",0,""
"346","WI, Full Sample",0,""
"347","Woodbury",0,""
"348","Wylie",0,""
"349","York",0,""
"350","Youngstown",0,""
