"date","agency_name","state_name","agency_full","agency_abbr","location_full","region","population","source_link","agency_num","source_type","source_method","most_recent_month","in_national_sample","Last Updated"
2025-06-01,"Blue Springs","Missouri","Blue Springs, Missouri","Blue Springs, MO","Blue Springs, Missouri","Midwest",59896,"https://showmecrime.mo.gov/",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-05-01,"Boise","Idaho","Boise, Idaho","Boise, ID","Boise, Idaho","West",236949,"https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch",1,"State UCR","Open Source","May 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bolingbrook","Illinois","Bolingbrook, Illinois","Bolingbrook, IL","Bolingbrook, Illinois","Midwest",74138,"https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Boone County","Kentucky","Boone County, Kentucky","Boone County, KY","Boone County, Kentucky","South",107867,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bossier City","Louisiana","Bossier City, Louisiana","Bossier City, LA","Bossier City, Louisiana","South",62602,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Boston","Massachusetts","Boston, Massachusetts","Boston, MA","Boston, Massachusetts","Northeast",642823,"https://www.mass.gov/crime-statistics",1,"State UCR","Provided by State UCR Program","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Boulder","Colorado","Boulder, Colorado","Boulder, CO","Boulder, Colorado","West",104232,"https://coloradocrimestats.state.co.us/public/View/dispview.aspx",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bowie","Maryland","Bowie, Maryland","Bowie, MD","Bowie, Maryland","South",56678,"https://www.mwcog.org/public-safety-and-homeland-security/data-and-tools/crime-dashboard/",1,"Agency Aggregated","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bowling Green","Kentucky","Bowling Green, Kentucky","Bowling Green, KY","Bowling Green, Kentucky","South",76194,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bozeman","Montana","Bozeman, Montana","Bozeman, MT","Bozeman, Montana","West",57424,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Brazoria County","Texas","Brazoria County, Texas","Brazoria County, TX","Brazoria County, Texas","South",132229,"https://txucr.nibrs.com/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bridgeport","Connecticut","Bridgeport, Connecticut","Bridgeport, CT","Bridgeport, Connecticut","Northeast",148483,"https://ct.beyond2020.com/ct_public/Dim/dimension.aspx",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bristol","Connecticut","Bristol, Connecticut","Bristol, CT","Bristol, Connecticut","Northeast",61609,"https://ct.beyond2020.com/ct_public/Dim/dimension.aspx",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Brockton","Massachusetts","Brockton, Massachusetts","Brockton, MA","Brockton, Massachusetts","Northeast",108938,"https://www.mass.gov/crime-statistics",1,"State UCR","Provided by State UCR Program","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Broken Arrow","Oklahoma","Broken Arrow, Oklahoma","Broken Arrow, OK","Broken Arrow, Oklahoma","South",119959,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Brookhaven","Georgia","Brookhaven, Georgia","Brookhaven, GA","Brookhaven, Georgia","South",58507,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-01-01,"Brookline","Massachusetts","Brookline, Massachusetts","Brookline, MA","Brookline, Massachusetts","Northeast",62639,"https://www.mass.gov/crime-statistics",1,"State UCR","Provided by State UCR Program","January 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Brooklyn Park","Minnesota","Brooklyn Park, Minnesota","Brooklyn Park, MN","Brooklyn Park, Minnesota","Midwest",81920,"https://cde.state.mn.us/",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Broomfield","Colorado","Broomfield, Colorado","Broomfield, CO","Broomfield, Colorado","West",77072,"https://coloradocrimestats.state.co.us/public/View/dispview.aspx",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Brownsville","Texas","Brownsville, Texas","Brownsville, TX","Brownsville, Texas","South",190590,"https://txucr.nibrs.com/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Buckeye","Arizona","Buckeye, Arizona","Buckeye, AZ","Buckeye, Arizona","West",112048,"https://azcrimestatistics.azdps.gov/",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Buffalo","New York","Buffalo, New York","Buffalo, NY","Buffalo, New York","Northeast",275922,"https://data.buffalony.gov/Public-Safety/Monthly-Uniform-Crime-Reporting-UCR-Program-Statis/xxu9-yrhd/data",1,"Agency Aggregated","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Buncombe County","North Carolina","Buncombe County, North Carolina","Buncombe County, NC","Buncombe County, North Carolina","South",158547,"From NC",1,"State UCR","Provided by State UCR Program","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Burbank","California","Burbank, California","Burbank, CA","Burbank, California","West",102345,"https://www.burbankpd.org/crime-information/crime-statistics/",1,"Agency Aggregated","Open Source","June 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Burleson","Texas","Burleson, Texas","Burleson, TX","Burleson, Texas","South",56307,"https://txucr.nibrs.com/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Burlington","North Carolina","Burlington, North Carolina","Burlington, NC","Burlington, North Carolina","South",60156,"From NC",1,"State UCR","Provided by State UCR Program","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Burlington","Vermont","Burlington, Vermont","Burlington, VT","Burlington, Vermont","Northeast",44522,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Burnsville","Minnesota","Burnsville, Minnesota","Burnsville, MN","Burnsville, Minnesota","Midwest",63650,"https://cde.state.mn.us/",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-05-01,"Caldwell","Idaho","Caldwell, Idaho","Caldwell, ID","Caldwell, Idaho","West",68731,"https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch",1,"State UCR","Open Source","May 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Camarillo","California","Camarillo, California","Camarillo, CA","Camarillo, California","West",70010,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
