"agency_name","state_name","is_county","address","lat","long","population","source_type","source_method","state_ucr_link","national_sample"
"Berkeley County","South Carolina",TRUE,"Berkeley County, South Carolina",33.1595951,-79.9070461,155402,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Bethlehem","Pennsylvania",FALSE,"Bethlehem, Pennsylvania",40.6178915,-75.3786521,59881,"State UCR","Open Source","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends",TRUE
"Bexar County","Texas",TRUE,"Bexar County, Texas",29.4263987,-98.5104781,426744,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",FALSE
"Billings","Montana",FALSE,"Billings, Montana",45.7874957,-108.49607,122571,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",FALSE
"Birmingham","Alabama",FALSE,"Birmingham, Alabama",33.5206824,-86.8024326,193432,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Bismarck","North Dakota",FALSE,"Bismarck, North Dakota",46.808327,-100.783739,78814,"State UCR","Open Source","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94",TRUE
"Blaine","Minnesota",FALSE,"Blaine, Minnesota",45.1607987,-93.2349489,76398,"State UCR","Open Source","https://cde.state.mn.us/",TRUE
"Bloomfield","New Jersey",FALSE,"Bloomfield, New Jersey",40.7934789,-74.1979277,56009,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Bloomington","Indiana",FALSE,"Bloomington, Indiana",39.1670396,-86.5342881,79948,"Crime Data Explorer","Open Source","https://cde.state.mn.us/",FALSE
"Bloomington","Minnesota",FALSE,"Bloomington, Minnesota",44.8322405,-93.3204872,87974,"State UCR","Open Source","https://cde.state.mn.us/",TRUE
"Blue Springs","Missouri",FALSE,"Blue Springs, Missouri",39.017316,-94.282265,61854,"State UCR","Open Source","https://showmecrime.mo.gov/",TRUE
"Boise","Idaho",FALSE,"Boise, Idaho",43.6166163,-116.200886,238450,"State UCR","Open Source","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch",FALSE
