"agency_name","state_name","is_county","address","lat","long"
"Grand Junction","Colorado",FALSE,"Grand Junction, Colorado",39.0672568,-108.56448
"Grand Prairie","Texas",FALSE,"Grand Prairie, Texas",32.7459645,-96.9977846
"Grand Rapids","Michigan",FALSE,"Grand Rapids, Michigan",42.9632425,-85.6678639
"Grapevine","Texas",FALSE,"Grapevine, Texas",32.9337381,-97.0788754
"Greeley","Colorado",FALSE,"Greeley, Colorado",40.4233142,-104.7091322
"Green Township","Ohio",FALSE,"Green Township, Ohio",39.1648093,-84.6536213594179
"Greensboro","North Carolina",FALSE,"Greensboro, North Carolina",36.0726355,-79.7919754
"Greenwich","Connecticut",FALSE,"Greenwich, Connecticut",41.0264862,-73.6284598
"Gresham","Oregon",FALSE,"Gresham, Oregon",45.4978623,-122.4329883
"Guaynabo","Puerto Rico",FALSE,"Guaynabo, Puerto Rico",18.35915955,-66.115680241776
"Hamden","Connecticut",FALSE,"Hamden, Connecticut",41.3959302,-72.8968574
"Hamilton","Ohio",FALSE,"Hamilton, Ohio",39.2085354,-84.5501874
"Hamilton County","Ohio",TRUE,"Hamilton County, Ohio",39.2085354,-84.5501874
"Hamilton County","Tennessee",TRUE,"Hamilton County, Tennessee",35.1755638,-85.1940792
"Hampton","Virginia",FALSE,"Hampton, Virginia",37.0264414,-76.3442846
"Hanover County","Virginia",TRUE,"Hanover County, Virginia",37.744783,-77.4464165
"Harlingen","Texas",FALSE,"Harlingen, Texas",26.1907543,-97.6960599
"Harris County","Texas",TRUE,"Harris County, Texas",29.8119769,-95.3741247
"Harrisburg","Pennsylvania",FALSE,"Harrisburg, Pennsylvania",40.2663107,-76.8861122
"Harrisonburg","Virginia",FALSE,"Harrisonburg, Virginia",38.4493315,-78.8688833
"Hartford","Connecticut",FALSE,"Hartford, Connecticut",41.764582,-72.6908547
"Haverford","Pennsylvania",FALSE,"Haverford, Pennsylvania",40.0131672,-75.2943516
"Haverhill","Massachusetts",FALSE,"Haverhill, Massachusetts",42.7777829,-71.0767724
"Hays County","Texas",TRUE,"Hays County, Texas",30.0447901,-98.0393127
"Henderson","Nevada",FALSE,"Henderson, Nevada",36.0319843,-114.9822486
"Henrico County","Virginia",TRUE,"Henrico County, Virginia",37.5131191,-77.3465081
"Hidalgo County","Texas",TRUE,"Hidalgo County, Texas",26.3530256,-98.216445
"Hillsboro","Oregon",FALSE,"Hillsboro, Oregon",45.5228939,-122.989827
"Honolulu","Hawaii",FALSE,"Honolulu, Hawaii",21.304547,-157.855676
"Houston","Texas",FALSE,"Houston, Texas",29.7589382,-95.3676974
"Idaho Falls","Idaho",FALSE,"Idaho Falls, Idaho",43.4887907,-112.03628
"Independence","Missouri",FALSE,"Independence, Missouri",39.0924792,-94.4137923
"Indianapolis","Indiana",FALSE,"Indianapolis, Indiana",39.7683331,-86.1583502
"Irving","Texas",FALSE,"Irving, Texas",32.8295183,-96.9442177
"Jefferson County","Colorado",TRUE,"Jefferson County, Colorado",39.5699803,-105.2561919
"Jefferson Parish","Louisiana",FALSE,"Jefferson Parish, Louisiana",29.8502657,-90.1293894
"Jefferson County","Missouri",TRUE,"Jefferson County, Missouri",38.267166,-90.5721889
"Joplin","Missouri",FALSE,"Joplin, Missouri",37.0841838,-94.5133385
"Kalamazoo","Michigan",FALSE,"Kalamazoo, Michigan",42.291707,-85.5872286
"Kalamazoo County","Michigan",TRUE,"Kalamazoo County, Michigan",42.2494968,-85.5372797
"Kansas City","Missouri",FALSE,"Kansas City, Missouri",39.100105,-94.5781416
"Kaufman County","Texas",TRUE,"Kaufman County, Texas",32.601641,-96.3375126
"Kent County","Michigan",TRUE,"Kent County, Michigan",43.0024013,-85.5502718
"Kentwood","Michigan",FALSE,"Kentwood, Michigan",42.8694731,-85.6447492
"Kettering","Ohio",FALSE,"Kettering, Ohio",39.6895036,-84.1688274
"Killeen","Texas",FALSE,"Killeen, Texas",31.1171441,-97.727796
"Knox County","Tennessee",TRUE,"Knox County, Tennessee",35.9859998,-83.9375598
"Knoxville","Tennessee",FALSE,"Knoxville, Tennessee",35.9603948,-83.9210261
"Kyle","Texas",FALSE,"Kyle, Texas",29.9892928,-97.8772103
"La Mesa","California",FALSE,"La Mesa, California",32.7678288,-117.0230839
"Lake Havasu City","Arizona",FALSE,"Lake Havasu City, Arizona",34.4775296,-114.3379972
"Lakeville","Minnesota",FALSE,"Lakeville, Minnesota",44.650051,-93.2432791
"Lakewood","Colorado",FALSE,"Lakewood, Colorado",39.7085736,-105.0846694
"Lakewood","Ohio",FALSE,"Lakewood, Ohio",41.4819932,-81.7981908
"Lancaster","Pennsylvania",FALSE,"Lancaster, Pennsylvania",40.0379958,-76.3056707
"Lansing","Michigan",FALSE,"Lansing, Michigan",42.7338254,-84.5546295
"Laredo","Texas",FALSE,"Laredo, Texas",27.5075005,-99.5069922
"Las Vegas","Nevada",FALSE,"Las Vegas, Nevada",36.1672719,-115.1483538
"Lawrence","Massachusetts",FALSE,"Lawrence, Massachusetts",42.7070354,-71.1631137
"League City","Texas",FALSE,"League City, Texas",29.5074538,-95.0949303
"Leander","Texas",FALSE,"Leander, Texas",30.5736134,-97.8567339
"Lee's Summit","Missouri",FALSE,"Lee's Summit, Missouri",38.9107156,-94.3821295
"Lewisville","Texas",FALSE,"Lewisville, Texas",33.046233,-96.994174
"Lexington","Kentucky",FALSE,"Lexington, Kentucky",38.0464066,-84.4970393
"Lincoln","Nebraska",FALSE,"Lincoln, Nebraska",40.8088861,-96.7077751
"Little Elm","Texas",FALSE,"Little Elm, Texas",33.1626194,-96.9375051
"Little Rock","Arkansas",FALSE,"Little Rock, Arkansas",34.7465071,-92.2896267
"Livonia","Michigan",FALSE,"Livonia, Michigan",42.36837,-83.3527097
"Long Beach","California",FALSE,"Long Beach, California",33.7690164,-118.191604
"Longmont","Colorado",FALSE,"Longmont, Colorado",40.1672117,-105.101928
"Longview","Texas",FALSE,"Longview, Texas",32.5007031,-94.74049
"Lorain","Ohio",FALSE,"Lorain, Ohio",41.2633554,-82.1734746
"Los Angeles","California",FALSE,"Los Angeles, California",34.0536909,-118.242766
